split,statement_id,original_label,label,label_name,statement,subject,speaker,speaker_job,state_info,party_affiliation,context,text_length_chars,text_length_words
train,1483.json,false,0,not_credible,killed lots innocent people state texas,"crime,legal-issues",farouk-shami,Businessman,Texas,democrat,a Democratic debate,39,6
train,1202.json,true,1,credible,states still legal deny woman coverage shes victim domestic violence,health-care,michelle-obama,,Illinois,democrat,a speech,68,10
train,7533.json,pants-fire,0,not_credible,every three dollars food stamps needy seven dollars salaries pensions go bureaucrats supposed taking care poor,"federal-budget,poverty",michele-bachmann,Congresswoman,Minnesota,republican,a speech at the conservative CPAC conference,110,16
train,4690.json,pants-fire,0,not_credible,former alaska governor sarah palin right president barack obamas health care bill created would effect death panels,health-care,newt-gingrich,"Co-host on CNN's ""Crossfire""",Georgia,republican,a Republican presidential debate,115,17
train,1959.json,pants-fire,0,not_credible,bill mccollum accepted thousands lobbyists planned parenthood,"abortion,candidates-biography,message-machine",rick-scott,Governor,Florida,republican,a campaign mail piece.,61,7
train,2219.json,pants-fire,0,not_credible,cap trade legislation zack space supported would cost average household approximately per year increased energy rates,"cap-and-trade,climate-change",bob-gibbs,Representative from Ohio's 18th Congressional District,Ohio,republican,an issue statement posted to his website,117,16
train,13445.json,false,0,not_credible,declaration independence written paper made hemp,history,kai-degner,Harrisonburg city councilman,Virginia,democrat,a debate.,48,6
train,10096.json,false,0,not_credible,jason carters plan increase spending billion,"education,medicaid,state-budget",nathan-deal,,,republican,television attack ad,44,6
train,2713.json,false,0,not_credible,dan seals running office since like ipods,"candidates-biography,message-machine",robert-dold,U.S. Representative,Illinois,republican,a campaign commercial,41,7
train,6148.json,barely-true,0,not_credible,women earn cents every dollar earned men position,"income,jobs,poverty,women,workers",david-cicilline,mayor of Providence,Rhode Island,democrat,a news release,49,8
train,7681.json,false,0,not_credible,miami dolphins nfl team entire nation pays property taxes,"county-budget,sports,taxes",carlos-gimenez,Mayor,Florida,republican,a county commission meeting,57,9
train,5378.json,pants-fire,0,not_credible,says texas legislators increased state spending education,"education,state-budget",myra-crownover,,Texas,republican,her campaign website.,57,7
train,1421.json,true,1,credible,us sen kay bailey hutchison voted nine separate times raise national debt ceiling,economy,rick-perry,Governor,Texas,republican,a press release,81,13
train,8537.json,true,1,credible,things went wrong medicare prescription plan george bush rolled,"health-care,medicare,retirement,technology",steve-israel,U.S. Representative,New York,democrat,an interview on MSNBC,63,9
train,13009.json,true,1,credible,child care costs states exceed average price tag college tuition,"children,education,families",donna-howard,Texas House Representative,Texas,democrat,a press conference by Austin Democrats,64,10
train,11192.json,barely-true,0,not_credible,debate among constitutional scholars whether first amendment continue protect faith leaders forced perform marriages religious beliefs,"gays-and-lesbians,legal-issues,marriage,religion,supreme-court",david-ralston,,Georgia,republican,an interview,134,16
train,3416.json,mostly-true,1,credible,last year american oil production reached highest level since,"economy,energy,history",barack-obama,President,Illinois,democrat,a press conference,61,9
train,11686.json,barely-true,0,not_credible,head fbi told congress vet syrian refugees,foreign-policy,ted-cruz,Senator,Texas,republican,a GOP debate on CNN,42,7
train,4467.json,false,0,not_credible,eightyfive percent funds collected county redistributed elsewhere spent county collected,"taxes,transportation",debbie-dooley,,Georgia,tea-party-member,an op-ed,88,10
train,4574.json,false,0,not_credible,say ratio ceo pay average worker pay us,"corporations,economy,labor,occupy-wall-street,workers",facebook-posts,Social media posting,,none,"postings on Facebook, blogs, and social-media sites",39,8
train,11776.json,false,0,not_credible,women texas attempted selfinduce abortion past year alone,abortion,tarina-keene,"Executive director, NARAL Pro-Choice Virginia",Virginia,organization,a news conference,57,8
train,11940.json,mostly-true,1,credible,says missouri families earning power less today turn century,"economy,income",todd-richardson,State House speaker,Missouri,republican,"comments on “This Week in Missouri Politics""",60,9
train,9529.json,false,0,not_credible,platform republican party says deport everybody hell,immigration,gilberto-hinojosa,"Chairman, Texas Democratic Party",Texas,democrat,an interview with KERA News,52,7
train,13140.json,mostly-true,1,credible,says marcorubio voted slash school funding billions dollars would eliminate department education,education,afscme-people,,,none,a TV ad,96,12
train,1824.json,mostly-true,1,credible,says three legislative sessions proposals opening prekindergarten texas yearolds never got heard voted committee,"children,education",rodney-ellis,state senator,Texas,democrat,an interview.,112,14
train,60.json,true,1,credible,ucthirtyfour percent hispanics donut health care donut health insuranceud,iraq,hillary-clinton,Presidential candidate,New York,democrat,,73,9
train,5666.json,mostly-true,1,credible,says new jersey adopted guaranteed coverage cost provisions without mandate individual health insurance market rates doubled tripled enrollment dropped people people,"health-care,states",donald-verrilli,Solicitor General,,none,a Supreme Court hearing on health care law,165,21
train,11988.json,false,0,not_credible,says milwaukee county executive chris abele billionaire,"candidates-biography,wealth",marina-dimitrijevic,,,none,a press release,55,7
train,3377.json,false,0,not_credible,state employees pay percent pensions health insurance,"health-care,labor,state-budget",chain-email,,,none,a chain email apparently focused on Wisconsin corrections workers,53,7
train,9244.json,barely-true,0,not_credible,says prodemocratic ad false saying allowed two disgraced staffers resign,candidates-biography,thom-tillis,House Speaker and U.S. Senate candidate,North Carolina,republican,a TV ad,72,10
train,2758.json,true,1,credible,members congress three days read bill stimulus rushed law,"history,stimulus",john-boehner,Speaker of the House of Representatives,Ohio,republican,a Saturday address,57,9
train,6322.json,pants-fire,0,not_credible,says us rep sean duffy among seven tea party freshmen spent average cars,"congress,congressional-rules,government-efficiency,transportation",scott-keyes,,,none,a blog post,72,13
train,4849.json,false,0,not_credible,advancing state money formula one race,state-budget,susan-combs,State comptroller,Texas,republican,a statement,38,6
train,3339.json,mostly-true,1,credible,massachusetts health care law added percent state budget,"health-care,state-budget,abc-news-week",deval-patrick,governor,Massachusetts,democrat,"an interview on ""This Week with Christiane Amanpour.""",56,8
train,4725.json,pants-fire,0,not_credible,talk problem binding arbitration doesnt make lot sense somebody los angeles fly zanesville impose wage settlement theyre plane back los angeles,"elections,government-efficiency,labor,unions",john-kasich,"Governor of Ohio as of Jan. 10, 2011",Ohio,republican,a campaign speech,143,21
train,8779.json,false,0,not_credible,us government predicted paper would come hemp trees would need cut,"drugs,marijuana",facebook-posts,Social media posting,,none,a graphic on the Internet,66,11
train,3934.json,mostly-true,1,credible,says states new collective bargaining law effectively eliminates police unions ability negotiate,"public-safety,unions",steve-loomis,Police union president,Ohio,none,a news conference,96,12
train,9002.json,barely-true,0,not_credible,mary burke senior member doyle administration left wisconsin fewer jobs,"economy,jobs",republican-governors-association,,"Washington, D.C.",republican,a campaign TV ad,71,10
train,11114.json,mostly-true,1,credible,last budget committed highest level needbased financial aid state history,"education,state-budget",scott-walker,Milwaukee County Executive,Wisconsin,republican,an opinion piece,73,10
train,6538.json,mostly-true,1,credible,independent voters tenpoint margin favor mitt romney right,polls,bob-mcdonnell,Governor,Virginia,republican,"an interview on ABC's ""This Week""",58,8
train,9376.json,barely-true,0,not_credible,senate immigration legislation obamareid plan give illegal immigrants amnesty,"congress,immigration",eric-cantor,House Majority Leader,Virginia,republican,a campaign mailer,77,9
train,6760.json,barely-true,0,not_credible,says romney tax plan could take away middleclass deductions child care mortgages college tuition,"message-machine-2012,taxes",barack-obama,President,Illinois,democrat,a campaign ad,96,14
train,3703.json,mostly-true,1,credible,ive four campaigns done negative campaigning,"bipartisanship,campaign-finance,candidates-biography,elections",herb-kohl,U.S. Senator,Wisconsin,democrat,remarks to reporters,44,6
train,6790.json,barely-true,0,not_credible,tea party congressman frank guinta voted billions cuts veterans programs,veterans,carol-shea-porter,Retired social worker,New Hampshire,democrat,"an ad, “Debt,” released Sept. 18, 2012",72,10
train,12831.json,pants-fire,0,not_credible,says hillary clinton wrotei believe primary role state teach train raise children parents secondary role,"candidates-biography,children",james-woods,Actor,,none,a tweet,104,15
train,13099.json,barely-true,0,not_credible,since california spent billion put people death,"crime,criminal-justice,death-penalty",tom-steyer,President of NextGen Climate,California,democrat,a press release.,47,7
train,509.json,true,1,credible,us forces iraq afghanistan include thousand still green card holders even citizens country,military,john-mccain,U.S. senator,Arizona,republican,"a TV ad airing Colorado, Nevada and New Mexico",90,13
train,4275.json,true,1,credible,obamacare patterned mitt romneys plan massachusetts,health-care,tim-pawlenty,,,republican,"a debate in Ames, Iowa",51,6
train,3805.json,false,0,not_credible,paul ryan budget proposal would leave country without medicare,"federal-budget,health-care,medicare",agenda-project,Liberal advocacy group,New York,none,an advertisement,62,9
train,3106.json,false,0,not_credible,national organization says georgia one americas toughest ethics laws,"campaign-finance,ethics",joe-wilkinson,state representative,Georgia,republican,a newspaper article,68,9
train,3616.json,true,1,credible,americas wealthiest percent pay percent total income taxes wealthiest percent pay percent total income taxes,taxes,tom-graves,,,republican,a Twitter post,108,15
train,7634.json,true,1,credible,within three miles surrounding university circle area infant mortality exceeds third world countries,"health-care,public-health",michele-walsh,Physician,Ohio,none,a radio discussion,100,13
train,7926.json,mostly-true,1,credible,past four years us senate passed nine appropriation bills,"congress,federal-budget",jack-kingston,U.S. Representative,Georgia,republican,a speech,57,9
train,9320.json,false,0,not_credible,human activity causing dramatic changes climate,"climate-change,corrections-and-updates,energy,environment,science",marco-rubio,U.S. Senator,Florida,republican,"an interview on ABC's ""This Week""",47,6
train,1252.json,barely-true,0,not_credible,people die china year auto emissions,"environment,foreign-policy,transportation",nancy-pelosi,House Minority Leader,California,democrat,an interview on the Charlie Rose Show,36,6
train,11031.json,mostly-true,1,credible,florida reduced carbon emissions percent since,"energy,environment",gus-bilirakis,Congressman,Florida,republican,a speech on the House floor,46,6
train,1819.json,pants-fire,0,not_credible,three days last week gov rick perry flew five cities taxpayers expense holding press conferences delivering checks,"elections,ethics,job-accomplishments,state-budget",bill-white,Former mayor of Houston,Texas,democrat,a Facebook post,114,17
train,1224.json,mostly-true,1,credible,richest percent financial wealth bottom percent combined,"economy,poverty,workers",michael-moore,Documentary filmmaker,,none,"a news conference in Washington, D.C.",56,7
train,9993.json,pants-fire,0,not_credible,mary landrieu voted take away gun rights,"guns,supreme-court",national-rifle-association,,,none,a campaign ad,40,7
train,6986.json,mostly-true,1,credible,says connie macks penny plan would cut billion medicare trillion social security trillion defense,"debates,federal-budget,medicare,social-security",bill-nelson,,Florida,democrat,a debate,97,14
train,3474.json,true,1,credible,says lubbock terror suspects alleged plan use baby dolls conceal chemical explosives similar plot blow jumbo jets pacific ocean,terrorism,michael-mccaul,congressman,Texas,republican,a statement,127,19
train,7275.json,mostly-true,1,credible,says recent study shows florida students second world fourth grade reading behind singapore,education,rick-scott,Governor,Florida,republican,a discussion with black lawmakers,91,13
train,5319.json,false,0,not_credible,says president barack obama environmental protection agency proposal would raise price gasoline cents gallon,environment,newt-gingrich,"Co-host on CNN's ""Crossfire""",Georgia,republican,"an interview on ""Meet the Press""",108,14
train,4607.json,pants-fire,0,not_credible,appalachian power company making record profits,"energy,market-regulation",ward-armstrong,"Minority leader, House of Delegates",Virginia,democrat,in TV ads.,47,6
train,415.json,pants-fire,0,not_credible,according book revelations antichrist man muslim descent obama,"obama-birth-certificate,religion",chain-email,,,none,a chain e-mail,62,8
train,3431.json,false,0,not_credible,texas constitution still contains jim crow provisions poll tax restrictions women right vote,legal-issues,charles-reed,retiree,Texas,democrat,an oped column.,92,13
train,7355.json,mostly-true,1,credible,exception slavery chinese exclusion act laws never barred persons becoming citizens,immigration,zoe-lofgren,U.S. House member,California,democrat,a House hearing on immigration,83,11
train,1863.json,true,1,credible,voters agree november approve onecent sales tax increase give hillsborough county highest sales tax florida counties,"taxes,transportation",david-caton,executive director of the Florida Family Association,Florida,republican,a mass e-mail,116,16
train,12893.json,false,0,not_credible,says president bill clinton sign nafta,"bipartisanship,bush-administration,congress,economy,foreign-policy,history,jobs,labor,trade,workers",nowthis,,,journalist,a viral video,38,6
train,5523.json,mostly-true,1,credible,says gov scott walker cut aid local schools despite campaigning trying restore twothirds state funding education,"education,state-budget",kathleen-falk,,,democrat,an appearance at Marquette University,112,16
train,12649.json,mostly-true,1,credible,countries subsaharan africa simply data say anything trends poverty,"economy,foreign-policy",morten-jerven,,,none,an article,67,9
train,1182.json,false,0,not_credible,health reform give every american opportunity buy health insurance way members congress,health-care,barack-obama,President,Illinois,democrat,a speech to Congress,87,12
train,12715.json,mostly-true,1,credible,donald trump rooted housing crisis knew could make money,"economy,housing",scott-peters,U.S. Representative,California,democrat,a media conference call.,56,9
train,1070.json,pants-fire,0,not_credible,free flow information act would guarantee barack obama never held accountable producing forged birth documents,"candidates-biography,obama-birth-certificate",chain-email,,,none,an e-mail received by many people.,110,15
train,4740.json,false,0,not_credible,wisconsin ranks th states venture capital investment,jobs,john-klenke,Assembly representative,Wisconsin,republican,a presentation,52,7
train,10095.json,barely-true,0,not_credible,cdc spending money things like jazzercise urban gardening massage therapy could redirected ebola,"ebola,health-care,public-health",cory-gardner,U.S. House of Representatives,Colorado,republican,a debate,96,13
train,7741.json,true,1,credible,federally licensed gun dealer license revoked youve engaged misconduct entire inventory prevailing law deemed personal collection sell free background checks,guns,david-cicilline,mayor of Providence,Rhode Island,democrat,an appearance on 10 News Conference,157,20
train,5107.json,mostly-true,1,credible,past year floridians government created almost new private sector jobs netted total jobs first months third state nation,"economy,jobs",rick-scott,Governor,Florida,republican,his State of the State address,120,18
train,473.json,mostly-true,1,credible,friend increased size government percent last years,federal-budget,john-mccain,U.S. senator,Arizona,republican,a television interview.,51,7
train,86.json,true,1,credible,new york ran reelection carried counties george bush counties new york two years earlier,elections,hillary-clinton,Presidential candidate,New York,democrat,a comment by husband Bill Clinton on Larry King Live.,88,14
train,9778.json,mostly-true,1,credible,wisconsin th country terms proficiency standards student testing,"children,education,government-regulation",mary-burke,Madison school board member,Wisconsin,democrat,a news article,64,8
train,8390.json,barely-true,0,not_credible,six years unionization fewer children illinois served child care development fund program,"children,families,labor,unions",jennifer-parrish,Home-based child care,Minnesota,activist,a newspaper commentary,89,12
train,398.json,mostly-true,1,credible,john mccain george w bush want spend trillion dollars iraq next years,iraq,campaign-defend-america,,"Washington, D.C.",none,a television ad,69,12
train,8426.json,false,0,not_credible,common core expects english teachers spend least half reading instructional time every grade level informational texts,"corrections-and-updates,education",sandra-stotsky,,,none,during a public hearing,118,16
train,4802.json,false,0,not_credible,made changes whatsoever state employees pension plan still enough money go forward approximately next years,"pensions,retirement,state-budget,state-finances,unions,workers",philip-keefe,"President, Service Employees International Union Local 580",Rhode Island,labor-leader,an appearance on 10 News Conference,107,15
train,7627.json,false,0,not_credible,says old wives story margaret thatcher told george hw bush go wobbly,"foreign-policy,history,iraq",dick-cheney,,,republican,an interview on Fox News,68,12
train,629.json,false,0,not_credible,oil companies havent touched million acres already rights drill,energy,barack-obama,President,Illinois,democrat,"Lansing, MI",63,9
train,4516.json,barely-true,0,not_credible,says president barack obama failed stand bipartisan debt solutions simpsonbowles commission,"deficit,federal-budget",chris-christie,Governor of New Jersey,New Jersey,republican,a speech at the Ronald Reagan Presidential Library,91,11
train,1914.json,false,0,not_credible,phoenix arizona im told kidnapping capital world right behind mexico city,"crime,immigration",david-dewhurst,Lieutenant governor,Texas,republican,a speech,73,11
train,2761.json,pants-fire,0,not_credible,congresswoman kathy castor voted spend million teach prostitutes china drink responsibly,"economy,health-care,stimulus",mike-prendergast,,Florida,republican,a campaign mailer,88,11
train,11355.json,true,1,credible,main gop presidential debatenot one candidate debate stage military experience,"candidates-biography,military",jim-gilmore,President and CEO of Free Congress Foundation,Virginia ,republican,a tweet.,78,10
train,972.json,barely-true,0,not_credible,percentage gross domestic product reducing nondefense discretionary spending lowest level since lower reagan lower clinton lower bush bushes,federal-budget,barack-obama,President,Illinois,democrat,a news conference.,140,18
train,11306.json,mostly-true,1,credible,says donald trump supports wall street bailout,"congress,economy",club-growth,,,none,a TV ad in Iowa,46,7
train,5744.json,true,1,credible,georgia one three states effectively regulations whatsoever lobbyists giving legislators,ethics,joshua-mckoon,,Georgia,republican,a press conference,88,10
train,13421.json,false,0,not_credible,says ron johnson benefiting several super pacs,"campaign-finance,elections",russ-feingold,,Wisconsin,democrat,a meeting with the Milwaukee Journal Sentinel editorial board.,46,7
train,6202.json,false,0,not_credible,says health care law rations care like systems canada great britain,health-care,rick-scott,Governor,Florida,republican,an interview on Fox News,67,11
train,8741.json,barely-true,0,not_credible,oregon spending million advertising obamacare ads dont even mention program enroll dont mention word insurance,taxes,tom-coburn,U.S. Senator,Oklahoma,republican,"Coburn's ""Wastebook 2013""",110,15
train,4776.json,barely-true,0,not_credible,says treasury department says percent business income reported individual returns would hit millionaires surtax would harm small businessmen women people counting create new jobs,"income,small-business,taxes",rodney-frelinghuysen,,,republican,an email newsletter,178,24
train,6487.json,barely-true,0,not_credible,led fight require coast guard buy engines us foreign companies,"federal-budget,jobs,message-machine-2012,military",tammy-baldwin,U.S. Representative,Wisconsin,democrat,a TV ad,62,10
train,1782.json,false,0,not_credible,sandra day oconnor think one reason good judge judicial experience joined supreme court,"job-accomplishments,kagan-nomination,supreme-court",harry-reid,Senate Democratic Leader,Nevada,democrat,a speech on the Senate floor,87,13
train,2663.json,pants-fire,0,not_credible,says politifact says amendment force counties cities across florida raise taxes fees,florida-amendments,citizens-lower-taxes-and-stronger-economy,,Florida,none,a newspaper ad.,84,12
train,8470.json,true,1,credible,massachusetts half primary care doctors accepting new patients,health-care,john-fleming,U.S. Representative,Louisiana,republican,"a discussion on CNN's ""State of the Union""",62,8
train,10033.json,pants-fire,0,not_credible,says us rep steve southerland voted health care life,"elections,health-care",democratic-congressional-campaign-committee,,,democrat,a campaign commercial,52,9
train,8225.json,false,0,not_credible,proposed san antonio ordinance allow men womens restrooms city,"city-government,legal-issues",texas-values,,,none,an email blast,62,9
train,8831.json,false,0,not_credible,john cornyn backed pal david dewhurst us senate ted cruz,candidates-biography,steve-stockman,U.S. representative,Texas,republican,a Stockman campaign web page,56,10
train,9694.json,barely-true,0,not_credible,since people killed attacks church property united states,guns,georgiacarryorg-georgiacarryorg,,,none,an interview with Georgia Public Broadcasting,57,8
train,10946.json,false,0,not_credible,says scott walker runs state government bans employees talking climate change,environment,forecast-facts,,,organization,a statement on a web page.,77,11
train,429.json,true,1,credible,state senator obama even refused support measure stop sex businesses opening near schools places worship,legal-issues,focus-family-action,,,none,an article written by Tom Minnery,104,15
train,2225.json,false,0,not_credible,could cut unemployment half simply reclaiming jobs taken illegal workers,immigration,lamar-smith,Congressman,Texas,republican,a floor speech,72,10
train,10731.json,true,1,credible,sixth year recovery median income start recovery,"economy,income",jeb-bush,,Florida,republican,an interview with the Pittsburgh Tribune-Review,48,7
train,2238.json,true,1,credible,unemployment rate folks whove never gone college almost double,"economy,education",barack-obama,President,Illinois,democrat,a speech at the University of Texas at Austin,62,9
train,12271.json,mostly-true,1,credible,federal controlled substance act marijuana listed schedule heroin even though marijuana killer drug like heroin,"crime,criminal-justice,drugs,government-regulation,public-health",bernie-s,U.S. Senator,Vermont,independent,a speech,111,15
train,8439.json,false,0,not_credible,result obamacare becoming something parttime employment country,"health-care,jobs,pundits",maria-bartiromo,"Host, On the Money with Maria Bartiromo",New York,journalist,"an appearance on NBC's ""Meet the Press""",63,7
train,8772.json,pants-fire,0,not_credible,oregon rep tina kotek dportland never held job run business,job-accomplishments,bill-post,Radio talk show host,Oregon,republican,a tweet by Post,59,10
train,461.json,mostly-true,1,credible,rev wright compared united states marine corps roman legionnaires responsible death savior,terrorism,john-mccain,U.S. senator,Arizona,republican,"Coral Gables, Fla.",90,12
train,7092.json,mostly-true,1,credible,staterun lottery funded new jersey classrooms million,"education,gambling,state-finances",big-gamble-nj,,New Jersey,none,a website,53,7
train,8904.json,barely-true,0,not_credible,social security advocated way getting people quit working thought confined permanent scarcity jobs country,"economy,history,poverty,social-security,workers",george-will,Columnist,Maryland,columnist,"a roundtable discussion on ""Fox News Sunday""",106,14
train,550.json,barely-true,0,not_credible,didnt say doesnt really matter whether gore bush president,elections,ralph-nader,"Attorney, activist",Connecticut,independent,"an interview with ""Democracy Now!,"" an independent radio program",58,9
train,11974.json,mostly-true,1,credible,isnt single texas legislator age even though millennials make percent electorate texas,"history,population",huey-rey-fischer,,Texas,democrat,a press release,86,12
train,1937.json,true,1,credible,langevin votes party line percent time,bipartisanship,mark-zaccaria,,Rhode Island,republican,a posting on his website,38,6
train,10339.json,mostly-true,1,credible,says president barack obama said normalization cuba would first require liberation political prisoners basic steps toward freedom including freedom press political parties labor unions,"foreign-policy,human-rights",mario-diaz-balart,U.S. Representative,Florida,republican,a press conference,184,24
train,7687.json,mostly-true,1,credible,united states currently highest corporate tax rate world,"corporations,taxes",leonard-lance,,,republican,a news release about tax reform,56,8
train,13082.json,pants-fire,0,not_credible,finished controversyabout wherepresident barack obama born,obama-birth-certificate,donald-trump,President-Elect,New York,republican,in a speech,58,6
train,4018.json,false,0,not_credible,million pot money redistricting issues including defending redistricting lawsuits tax dollars spent anything like,redistricting,will-weatherford,State Representative,Florida,republican,a redistricting meeting in Panama City,113,14
train,10322.json,barely-true,0,not_credible,georgia school shootings two years since mass killing sandy hook elementary school state,"children,education,guns,public-safety",everytown-gun-safety,Advocacy group,New York,none,a recent report,88,13
train,11699.json,true,1,credible,going kill families terrorists realize theres something called geneva convention going pull,"legal-issues,military,terrorism",rand-paul,Candidate for U.S. Senate and physician,Kentucky,republican,a Republican presidential debate in Las Vegas,91,12
train,10003.json,barely-true,0,not_credible,david perdue opposes laws provide equal pay protections women,"jobs,labor,women",georgians-together,PAC,Georgia ,democrat,television attack ad,61,9
train,11270.json,mostly-true,1,credible,twentythree million americans suffer addiction get treatment,"drugs,health-care,public-health",hillary-clinton,Presidential candidate,New York,democrat,an op-ed in the New Hampshire Union-Leader,60,7
train,1553.json,mostly-true,1,credible,reconciliation used tax cuts rich twice bush,"federal-budget,legal-issues,taxes",alan-grayson,U.S. House of Representatives,Florida,democrat,an interview on CNN's Larry King Live,44,7
train,10847.json,barely-true,0,not_credible,agreement president could signed would kept troops iraq,iraq,jeb-bush,,Florida,republican,a response to a question after a town hall meeting,55,8
train,8693.json,false,0,not_credible,dont show people playing games dont show winning playing video lottery games,gambling,jack-roberts,Oregon Lottery director,Oregon,republican,an interview on Oregon Public Broadcasting,76,12
train,6530.json,mostly-true,1,credible,weve got highest corporate tax rate world,taxes,joseph-kyrillos,State Senator,New Jersey,republican,a radio interview,41,7
train,3880.json,false,0,not_credible,states tax burden according census figures released today cost state another residents,"census,economy,taxes",tom-kean-jr,New Jersey Senate Minority Leader,,republican,a press release,86,12
train,8927.json,barely-true,0,not_credible,nonpartisan government analysts say obamacare cost economy million jobs,"economy,federal-budget,health-care,jobs",national-republican-congressional-committee,,,republican,a television ad,71,9
train,469.json,mostly-true,1,credible,gas tax holiday would best provide cents day three months grand total,energy,barack-obama,President,Illinois,democrat,a television interview,69,12
train,4117.json,mostly-true,1,credible,says recent polls show americans agree republicans federal debt ceiling raised debt deficit dealt mostly cutting spending,"deficit,federal-budget,polls",josh-trevino,"Vice President of Communications, Texas Public Policy Foundation",Texas,republican,a TV appearance.,121,17
train,5611.json,true,1,credible,new business startups lowest levels years,"economy,jobs",john-boehner,Speaker of the House of Representatives,Ohio,republican,a news release,41,6
train,10661.json,mostly-true,1,credible,florida one states actually narrowing achievement gap based income based race ethnicity,"education,poverty",jeb-bush,,Florida,republican,a business roundtable in New Hampshire,87,12
train,8219.json,barely-true,0,not_credible,says ken cuccinelli supported law could allow people carry missile launchers airports,"guns,homeland-security",terry-mcauliffe,Governor,Virginia,democrat,a tweet.,85,12
train,5873.json,true,1,credible,says us sen marco rubio says troops leaving iraq fast,"foreign-policy,iraq",wrongwayrubiocom,,Florida,democrat,a Twitter messaging campaign,53,10
train,9087.json,mostly-true,1,credible,medicare spent million penis pumps last five years pop,"medicare,sexuality",ilyse-hogue,President of NARAL Pro-Choice America,,activist,"an interview on ""The Daily Show""",54,9
train,12900.json,barely-true,0,not_credible,ted strickland stands lockstep hillary clinton abortion lobby desire force americans pay abortion demand moment birth taxpayer dollars,abortion,ohio-right-life,,Ohio,none,a press release,134,18
train,6552.json,true,1,credible,says top percent income earners pay nearly percent federal taxes,taxes,lamar-smith,Congressman,Texas,republican,a speech to the Austin-Oak Hill Rotary Club,64,10
train,9766.json,pants-fire,0,not_credible,far children died last year drowning bathtubs killed accidentally guns,guns,tucker-carlson,"Editor, Daily Caller",,none,"a broadcast of ""Fox and Friends Weekend.""",70,10
train,5520.json,true,1,credible,last two years super pacs raised million roughly half coming fewer superrich people roughly percent corporations,campaign-finance,hank-johnson,U.S. Congressman,Georgia,democrat,an op-ed in the Huffington Post,112,16
train,3835.json,pants-fire,0,not_credible,house republicans required use styrofoam cups house cafeterias part koch industries,congressional-rules,jim-moran,U. S. Congressman,Virginia,democrat,a speech.,83,11
train,9871.json,false,0,not_credible,isis right crucifying christians iraq literally nailing christians trees,"foreign-policy,iraq,terrorism",ted-cruz,Senator,Texas,republican,an interview with WFAA-TV,72,9
train,1979.json,mostly-true,1,credible,record environment creating green energy taking trash turning cash,environment,vernon-jones,,,democrat,a candidate forum,66,9
train,13003.json,true,1,credible,dallas cowboys cant put sticker helmets police officers killed,sports,james-woods,Actor,,none,a tweet,62,9
train,12253.json,barely-true,0,not_credible,richmond teachers gotten raise almost years,"education,income",jack-berry,Mayoral candidate,Virginia,none,a candidates forum,43,6
train,5831.json,true,1,credible,fastestrising expense us defense department health care,"health-care,military",saxby-chambliss,U.S. Senator,Georgia,republican,a speech,55,7
train,3376.json,mostly-true,1,credible,wisconsin state local government workers pay cases per year union dues,"labor,state-budget",scott-walker,Milwaukee County Executive,Wisconsin,republican,an appearance on a TV interview program,70,11
train,9217.json,mostly-true,1,credible,get commercial pilots license learn communicate english matter world,"immigration,states",don-balfour,,,republican,a flier,68,9
train,10181.json,barely-true,0,not_credible,businesses created since scott walker took office,"jobs,small-business",republican-party-wisconsin,,Wisconsin,republican,a campaign news release,49,7
train,11826.json,true,1,credible,texas growing twice fast rest country,population,joe-straus,Texas House speaker,Texas,republican,campaign video,37,6
train,10882.json,true,1,credible,publicprivate split paying new milwaukee bucks arena would much better terms portion public financing arena projects done around country,"economy,recreation,sports,state-budget,taxes",tim-sheehy,,,business-leader,an interview,136,19
train,8202.json,pants-fire,0,not_credible,americas gunrelated homicide rate would belgiums left california illinois dc new jersey places strictest gun control laws us,"crime,guns,pundits",mike-huckabee,author,Arkansas,republican,a Facebook post,124,18
train,2140.json,true,1,credible,pain clinics broward county mcdonalds broward county,drugs,dave-aronberg,state senator,Florida,democrat,an editorial board interview,52,7
train,12932.json,barely-true,0,not_credible,says military commanders said donald trump elected would follow orders,"legal-issues,military",joe-biden,U.S. senator,Delaware,democrat,"a speech in Scranton, Pa.",70,10
train,6390.json,mostly-true,1,credible,nearly decade half congress tammy baldwin sponsored bills three enacted law,"bipartisanship,congress,job-accomplishments",jeff-fitzgerald,Incoming speaker of state Assembly,Wisconsin,republican,a news release,75,11
train,9608.json,false,0,not_credible,former president george w bush former vice president dick cheney unable visit europe due outstanding warrants,"foreign-policy,legal-issues,military,terrorism",facebook-posts,Social media posting,,none,a meme on social media,109,16
train,10048.json,barely-true,0,not_credible,michelle nunn ranks agriculture issues th important items facing georgia,"agriculture,elections",david-perdue,U.S. Senate candidate,Georgia,republican,a U.S. Senate debate,72,10
train,12358.json,mostly-true,1,credible,market making decision market driven cost coal companies going bankrupt,"climate-change,economy,energy,government-regulation,market-regulation",hillary-clinton,Presidential candidate,New York,democrat,an interview with CNN's Anderson Cooper,71,10
train,1037.json,barely-true,0,not_credible,days since passage economic stimulus saved created nearly jobs,"economy,stimulus,workers",barack-obama,President,Illinois,democrat,a speech,62,9
train,5681.json,pants-fire,0,not_credible,says texas retained right navy joined united states,"history,military,states",chain-email,,,none,an email,51,8
