topic,topic_keywords,n_train_examples,p_not_credible,predicted_topic_label,example_statements
-1,outlier/noise,3065,0.5412724306688418,not_credible,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades. || Jim Dunnam has not lived in the district he represents for years now. || The economy bled $24 billion due to the government shutdown.
86,"hiv, aids, hivaids, infected, transmitted, africa, sex, diagnosed, medicines, sheen",17,0.47058823529411764,credible,U.S. global AIDS spending helped reduce political instability and violence by 40 percent in recipient nations. || The number of people in Atlanta dying from HIV and AIDS declined 59 percent between 2004 and 2012. || Former President Bill Clinton and his Clinton Health Access Initiative (CHAI) distributed watered-down HIV/AIDSdrugs to patients in sub-Saharan Africa.
87,"sector, private, privatesector, growth, jobs, months, buffalo, job, created, weve",17,0.2941176470588235,credible,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history || If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor. || This year, were off to our best private-sector jobs growth since 1999."
88,"governors, approval, governor, ratings, rating, unpopular, huckabee, previous, staggering, cato",17,0.23529411764705888,credible,"About half of the presidents have been governors; half of them, senators. || As governor, I've stood up to ... the big oil companies. || Congress has 11 percent approval ratings, yet 96.4 percent of incumbent lawmakers were re-elected in 2014."
89,"trip, obama, build, china, wind, million, billion, barack, 400, spent",17,0.7647058823529411,not_credible,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had. || U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East. || The president of the United States will be taking a trip over to India that is expected to cost the taxpayers $200 million a day.
90,"tammy, baldwin, taxes, senate, increase, buono, raising, trillions, candidate, sales",17,0.7647058823529411,not_credible,"Shes voted for 60 tax increases, hurting the middle class and small businesses. || Says hes signed a pledge not to raise taxes four times. || Says when he was governor, most of the Democrats voted for his billion-dollar property-tax cuts, but U.S. Senate rival Tammy Baldwin voted against it."
91,"deficit, trillion, surplus, balanced, four, projected, deficits, 405, 10year, took",17,0.5294117647058824,not_credible,"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade. || When President Bush took office in 2001, he inherited a $236 billion budget surplus, with a projected 10-year surplus of $5.6 trillion. When he ended his term, he left a $1.3 trillion deficit and a projected 10-year shortfall of $8 trillion. || The deficit was on track to top $1 trillion the year I took office."
92,"permit, gun, concealed, florida, purchases, regulate, mcdonalds, navy, twice, permits",16,0.25,credible,"The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house. || Florida has the most concealed weapon permits in the nation, nearly double that of the second state, which is Texas. || There are at least twice as many licensed firearm dealers in California as there are McDonalds."
93,"amendment, second, 17th, abolish, thomas, repealing, shes, speech, hillary, constitutional",15,0.8,not_credible,The Fourth Amendment was what we fought the Revolution over. John Adams said it was the spark that led to our war for independence. || On repealing the 17th Amendment || Thomas Paine wrote that the duty of a patriot is to protect his country from his government.
94,"borders, hillary, open, clinton, refugees, pour, sharia, wants, her, immigrants",15,0.8666666666666667,not_credible,Says Hillary Clinton wants to have open borders. || Says Hillary Clinton has not answered a single question about her immigration plan. || Says Hillary Clinton wants to let people just pour in. You could have 650 million people pour in and we do nothing about it. Think of it. Thats what could happen. You triple the size of our country in one week.
95,"returns, released, tax, donald, nixon, richard, learn, audit, financial, pentagon",14,0.6428571428571428,not_credible,"The only years that anybodys ever seen of Donald Trumps tax returns showed he didnt pay any federal income tax. || You will learn more about Donald Trump by going down to the Federal Elections to see the financial disclosure form than by looking at tax returns. || I have had to fill out FEC reports for the past six years now, and theyre much more detailed than a tax return..."
96,"budget, 201517, shortfall, state, deficits, many, 489, climates, shortfalls, crushing",14,0.6428571428571428,not_credible,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates. || The projected $1.8 billion state budget shortfall for 2015-17 actually comes from an assumption based on zero growth. That just doesnt happen. || Says the proposed fiscal year 2013 budget is still below the level of state spending when I took office."
97,"core, common, data, together, attitudes, fingerprints, expects, succeeds, informational, sununu",14,0.7857142857142857,not_credible,"Common Core is not from the federal government, they do not have their fingerprints on this thing at all. || Race to the Top grants require participating states to adopt the Common Core standards as a condition for receiving federal funding. || Chris Sununu supported Obamas Common Core agenda, taking away local control of our schools."
98,"shutdown, vacation, congress, members, days, government, retirement, term, straightforward, laundry",14,0.5,not_credible,"Says U.S. Rep. Steve Southerland voted to keep the shutdown going. || Members of Congress receive full pay retirement after serving one term. || Says President Barack Obama has taken less vacation days than any other president in a generation, while Congress has taken more vacation days than any other Congress in history."
99,"protesters, capitol, windows, crowd, exit, car, protest, protests, opponents, blocked",14,0.7857142857142857,not_credible,"On letting Occupy Atlanta protesters stay in Woodruff Park. || Photo of ""tea party"" protests shows crowd sprawling from Capitol to Washington Monument || More than once, Ive actually had a conversation with the protesters on substance."
100,"beer, sell, winery, brewpubs, brewing, craft, drink, segment, production, cant",14,0.5,not_credible,Says that Starbucks took Christmas off of their brand new cups. || Says Every legislative district in the state has at least one craft brewery and countless home brewers. || The only segment in the beer market that is growing is the craft beer segment.
101,"defense, budget, declined, spending, combined, spend, military, terrorism, international, drawdowns",13,0.3076923076923077,credible,We spend less on defense today as % of GDP than at any time since Pearl Harbor. || We spend three times more on entitlements and debt services than we do on defense. || Says military expenditures for the United States are greater than the combined spending of the next 14 largest nations.
102,"cosponsor, senate, sponsored, legislation, experience, securitiesproduct, thatd, bucyrus, fiftyseven, plale",13,0.5384615384615384,not_credible,I co-sponsored the Rebuild America Jobs Act for transportation and infrastructure. || The U.S. Senate has one manufacturer thatd be me. || Most of the U.S. Senate is comprised of multimillionaires.
103,"drilling, coast, oil, offshore, off, alaska, always, on, floridas, shelf",13,0.3846153846153846,credible,On offshore drilling for energy || On drilling off the Atlantic coast || Says Donald Trump said he intends to open up additional areas off the coast to oil drilling during the campaign.
104,"kaine, tim, 17000, governor, increase, earning, as, little, takingbob, jihadi",13,0.6923076923076923,not_credible,"In first week as governor, Tim Kaine proposed a nearly $4 billion tax increase, $4 billion, including a tax increase on people earning as little as $17,000 a year. || Tim Kaine broke a campaign promise not to raise taxes. || On gift taking,Bob McDonnell took a fraction of what (Tim) Kaine took."
105,"keystone, pipeline, xl, 20000, project, bipartisan, oil, employ, sands, tar",13,0.5384615384615384,not_credible,"The proposed Keystone XL oil pipeline is a bipartisan proposal. || Keystone means unlocking the Canadian tar sands. || Says With nearly 75 percent of Americans supportive of the construction of the pipeline, Schrader needs to explain to Oregon families why he voted against this needed project."
106,"prison, population, incarceration, worlds, oregon, oregons, 75, percent, excons, meth",13,0.23076923076923073,credible,"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world! || Roughly 25% of RI has a criminal record || The United States has the highest incarceration rate in the world."
107,"drivers, licenses, illegal, crosswalk, stop, road, aliens, those, eliot, boycotts",13,0.5384615384615384,not_credible,"The Richardson-Denish administration gave 50,000 drivers licenses to illegal immigrants in New Mexico. || When New York Gov. Eliot Spitzer wanted to provide drivers licenses to those who are undocumented. (Hillary Clinton) said dont do it. || Hillsboroughs Public Transportation Commission has a rule that says cabbies have to wear socks. I mean, please. Come on."
108,"sequester, procedures, wont, something, penises, distinctions, presurge, outlived, quiet, duck",12,0.5833333333333333,not_credible,"Issue 2 makes it illegal for us to negotiate for enough firefighters to do the job. || We have drawn down to presurge levels. Basra, Mosul and now Sadr City are quiet and it's long and it's tough and there will be setbacks. || I did not support the sequester."
109,"costs, illegal, immigrant, immigration, 20000, every, household, single, immigrants, 400",12,0.6666666666666667,not_credible,"If we pass immigration reform, it will make wages go up on average $250 for the average household. || In Florida, illegal immigration costs taxpayers nearly $4 billion (a year). This amounts to $700 for every household in Florida. || Illegal immigration costs state taxpayers over $3 billion every year."
110,"rail, highspeed, project, taken, train, built, shortterm, areunwilling, canal, towpath",12,0.5,not_credible,"On the way the federal government should spend Floridas rejected high-speed rail money. || The high-speed rail project would create 60,000-plus jobs for Floridians. || On high-speed rail."
111,"muslim, muslims, obama, chinese, name, mohammed, direction, discoveries, covert, babylonians",12,0.9166666666666666,not_credible,"59 percent of Americans today believe that Barack Obama is still a Muslim. || Says large majority of Republicans believe Obama is a Muslim and not U.S.-born. || According to The Book of Revelations the anti-christ ... will be a man, in his 40s, of MUSLIM descent ... is it OBAMA??"
112,"lincoln, abraham, slaves, abrahamlincoln, slavery, civil, tried, jungles, danced, proclamation",12,0.5,not_credible,"Abraham Lincoln visited and some say even danced in (the Ohio Senate) chamber. || Says Abraham Lincoln tried to buy slavesfreedom in border states, but the states all rejected it. || When President AbrahamLincoln signed his Emancipation Proclamation, there were over 300,000 slaveholders who were fighting in the Union army."
113,"carly, books, she, banned, sarah, trig, torturing, moderator, dancing, extracurricular",12,0.5,not_credible,"Carly Fiorina, shes against banning assault weapons. || Says she is the subject of 60 books. || The top man at Yale Law School came out ... with just a raging report about former HP CEO Carly Fiorina,saying she isone of the worst executives in his memory in history running the company."
114,"budget, senate, veto, fiscal, passed, predecessor, 2009, backs, submitted, appropriated",12,0.5,not_credible,As many as six federal department budget bills have been delayed because of opposition to amendments that would ban Confederate battle flag sales at federal building gift shops. || The state budget proposal has been submitted on time and [its] the earliest that a governor has done so in over two decades. || The only budget Ted Cruz ever voted for in his time in the Senate is a budget that cut defense spending by more than Barack Obama proposes we cut it.
115,"senate, joined, ive, senators, fought, shared, ideologue, deserted, poorer, deans",11,0.5454545454545454,not_credible,I would be the first Republican senator elected in New Jersey in 41 years. || I was the most bipartisan senator in the United States Senate. || I was one of about a dozen (senators) who voted against the Bridge to Nowhere.
116,"homicide, firearm, guns, gun, switzerland, homicides, rate, seized, belgiums, keys",11,0.36363636363636365,credible,"Over the past twenty years, the number of homicides committed with a firearm in the United States has decreased by nearly 40 percent. The number of other crimes involving the use of a firearm has also plummeted, declining by nearly 70 percent. || California has seen a 56 percent decline in the gun murder rate since the 1990s. || Sixty percent of the auto thefts that we have in (St. Petersburg) are caused by people leaving their keys in the car."
117,"alex, sink, 125, supported, case, bank, nobid, seth, nationsbank, magaziner",11,0.7272727272727273,not_credible,"Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America. || Says Alex Sink failed Florida homeowners by using predatory lending practices. || As bank president, Alex Sink eliminated thousands of Florida jobs while taking over $8 million in salary and bonuses."
118,"prayer, prayed, prayers, weinstein, casey, rugs, aclu, military, faith, sued",11,1.0,not_credible,"Prior to 1962, everybody prayed before school started, and the Bible was the principal textbook in all schools. || Pentagon confirms they may court martial soldiers who hold Christian faith. || Says Houston National Cemetery is preventing Christian prayers from being said at military funerals."
119,"georgia, halftrue, interview, columnist, remarks, elections, former, republican, false, georgias",11,0.4545454545454546,credible,"Rob Cornilles has been endorsed by 20 local mayors, including Independent, Democratic and Republican. || Said he is the only Democratic candidate for state attorney general who has ""represented the entire state of Georgia."" || The left is blatantly attempting to disrupt Georgias elections."
120,"republican, candidate, donald, appealing, specter, populist, trump, arlen, raging, lemieux",10,0.5,not_credible,"Said he's the only Republican candidate ""who's actually turned around a government economy."" || Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill. || John wasn't this raging populist four years ago when he ran for president."
121,"running, run, whether, senate, announces, relatives, timing, 2012, spokesman, allens",10,0.7,not_credible,On running for the presidency in 2012 || On whether to run for the U.S. Senate as an independent. || On running for re-election to U.S. Senate
122,"failed, president, barack, deficit, reduction, obama, halve, obamas, thensen, simpsonbowles",10,0.4,credible,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one. || President Obamas recent plan to cut $100 million of waste within his administration wont actually save money because hes going to spend it elsewhere. || Says President Barack Obama failed to stand up for the bipartisan debt solutions of the Simpson-Bowles Commission.
123,"born, babies, defect, child, words, children, 1270, infant, areindividuals, congenital",10,0.5,not_credible,"In 2010 alone, 1,270 infants were reported to have died following attempted abortions and notably that is only one year. || Today in America, between 40 and 50 percent of all African-American babies, virtually 1-in-2, are killed before they are born. || There are 300,000 babies born deformed every year in this country because of women who are alcoholics while they're carrying those children to term."
124,"mine, ore, iron, northern, environmental, puddle, gogebic, proposed, lake, bigger",10,0.6,not_credible,A 2013 state law would allow the operator of an iron ore mine in northern Wisconsin to fill in pristine streams and ponds with mine waste. || To abide by Environmental Protection Agency rules when mining or drilling you have to take caution not to disturb bodies of water barely bigger than a puddle. || A proposed mine in Wisconsin is about two-thirds the size of Lake Winnebago.
125,"texas, teach, abbott, greg, teacher, children, schools, creationism, electrical, fouryearolds",10,0.7,not_credible,"Austins Pease Elementary is a school that was created as part of the Texas Constitution. || Greg Abbott said it would be a waste to expand pre-k to all Texas children. || In Texas, schools do not even have to teach sex education."
